,id,carat,depth,table,price,cut_num,color_num,clarity_num
41,41,0.27,59.9,58.0,470,3,7,4
42,42,1.0,63.0,60.0,7096,5,6,4
43,43,0.31,62.0,57.0,698,4,4,5
44,44,1.02,62.1,55.0,4798,4,6,7
45,45,0.4,64.2,57.0,798,2,6,7
46,46,0.5,62.2,56.0,1760,4,4,3
47,47,0.3,62.8,58.0,776,5,5,5
48,48,0.8,64.2,55.0,2246,2,4,7
49,49,2.01,63.1,59.0,10184,3,3,7
50,50,0.3,63.3,56.0,450,3,2,7
51,51,0.7,63.4,55.0,2094,3,3,7
52,52,0.44,59.7,59.0,1090,3,6,4
53,53,0.55,62.3,56.0,1551,4,6,6
54,54,1.01,62.0,58.0,7597,4,4,3
55,55,0.54,63.0,54.0,2016,3,7,4
56,56,0.53,60.9,56.0,1636,3,4,4
57,57,0.35,62.3,56.0,614,4,6,6
58,58,0.71,60.5,56.0,3527,4,6,6
59,59,0.5,60.7,57.0,947,3,1,7
60,60,0.42,59.8,58.0,1235,5,4,2
61,61,0.54,61.1,57.0,1846,4,3,2
62,62,0.7,58.5,61.0,2276,2,2,6
63,63,2.22,61.2,63.0,10662,3,1,7
64,64,1.11,61.8,57.0,8858,4,4,3
65,65,0.32,62.0,54.0,523,4,3,5
66,66,1.01,62.7,58.0,6221,5,4,4
67,67,1.2,63.5,60.0,4828,2,4,6
68,68,1.05,59.7,57.0,6224,3,6,6
69,69,0.55,61.1,58.0,1928,5,6,5
70,70,0.23,63.0,58.0,505,3,6,3
71,71,0.7,62.8,55.0,2607,4,3,5
72,72,1.2,62.6,58.0,6098,3,6,6
73,73,0.41,61.1,58.0,1076,5,5,4
74,74,1.04,61.5,57.0,5105,4,2,5
75,75,0.71,61.3,56.0,2709,3,5,5
76,76,1.56,61.1,59.0,8476,5,1,4
77,77,1.27,63.0,60.0,6654,3,2,6
78,78,0.36,62.1,55.0,1013,4,6,5
79,79,2.1,62.9,58.0,13930,5,1,6
80,80,0.25,62.0,56.0,560,3,6,3
81,81,1.53,60.2,59.0,13119,5,4,4
82,82,0.75,62.7,61.0,2142,5,2,6
83,83,0.7,58.2,66.0,1920,1,5,7
84,84,0.93,59.8,58.0,4256,3,5,6
85,85,1.01,60.6,58.0,4118,5,6,7
86,86,1.0,56.3,63.0,4150,1,3,6
87,87,1.02,62.6,57.0,5922,4,4,5
88,88,0.31,59.2,60.0,628,5,2,4
89,89,0.4,62.5,61.0,924,5,7,6
90,90,0.31,62.1,56.0,871,4,4,1
91,91,0.28,61.1,60.0,828,5,6,2
92,92,0.7,61.0,57.0,3478,4,5,3
93,93,0.33,62.9,59.0,743,5,3,4
94,94,0.31,60.9,58.0,544,5,4,5
95,95,0.51,60.7,56.0,1628,3,3,4
96,96,0.41,61.6,56.0,1007,3,4,3
97,97,1.08,61.6,57.0,5352,4,7,7
98,98,0.25,62.7,54.0,438,4,4,4
99,99,0.9,63.4,60.0,7214,2,6,2
100,100,0.41,62.7,54.0,648,4,1,4
101,101,0.52,60.9,58.0,1619,5,7,5
102,102,0.36,63.5,58.0,593,3,6,6
103,103,0.42,61.9,58.0,945,5,5,5
104,104,0.78,62.5,58.0,2132,3,2,7
105,105,1.88,63.2,60.0,9791,3,7,7
106,106,0.5,59.8,57.0,1395,2,6,5
107,107,1.09,62.9,58.0,7598,3,5,4
108,108,0.3,58.8,60.0,447,3,4,6
109,109,1.05,62.8,58.0,6181,5,4,5
110,110,0.33,61.0,56.0,1077,4,7,4
111,111,0.33,62.8,57.0,752,3,4,3
112,112,1.53,62.0,58.0,10196,5,2,5
113,113,1.5,61.0,57.0,12009,4,4,6
114,114,0.31,63.0,54.0,544,3,4,5
115,115,1.02,63.3,59.0,6479,2,5,5
116,116,1.01,62.7,59.0,4808,5,4,6
117,117,0.32,62.1,57.0,936,4,4,3
118,118,1.8,61.8,57.0,16513,4,5,6
119,119,2.01,70.6,64.0,18574,1,4,6
120,120,1.12,61.0,60.0,3838,5,4,7
121,121,1.01,63.2,58.0,6618,3,4,4
122,122,0.7,61.2,58.0,2513,3,2,2
123,123,1.2,61.5,57.0,11883,4,6,3
124,124,2.17,59.3,61.0,13084,5,5,7
125,125,0.42,62.0,55.0,872,4,5,5
126,126,0.32,60.1,58.0,791,3,7,3
127,127,2.4,59.7,58.0,15920,5,1,6
128,128,0.32,63.3,55.0,672,3,6,6
129,129,1.01,62.4,56.0,4242,4,4,7
130,130,0.61,61.8,56.0,2041,4,4,4
131,131,1.37,62.6,55.0,12342,4,4,2
132,132,0.71,61.5,60.0,1826,5,3,7
133,133,0.41,61.8,58.0,1061,5,4,5
134,134,0.34,61.7,56.0,775,3,4,3
135,135,0.32,62.7,58.0,605,5,3,5
136,136,0.54,61.5,55.0,1453,4,3,5
137,137,0.37,60.2,60.0,803,5,7,4
138,138,1.51,62.5,58.0,14294,5,5,5
139,139,1.05,65.4,59.0,3816,1,7,7
140,140,1.2,63.1,57.0,7371,3,4,5
141,141,0.83,62.2,55.0,3560,4,5,6
142,142,0.73,61.9,56.0,2961,5,5,4
143,143,1.03,62.2,57.0,6539,3,4,4
144,144,0.41,61.2,55.0,1364,3,7,3
145,145,0.38,59.9,61.0,1008,4,6,3
146,146,0.55,60.6,56.0,2499,3,6,3
147,147,1.25,60.8,57.0,8789,4,3,3
148,148,0.9,61.8,56.0,3724,4,2,4
149,149,0.3,62.2,55.0,776,4,4,4
150,150,0.92,61.1,57.0,3215,4,1,5
151,151,0.3,61.8,58.0,844,5,6,5
152,152,1.02,62.5,57.0,6352,4,4,5
153,153,0.35,61.7,57.0,630,4,2,5
154,154,1.53,62.1,59.0,7539,5,2,7
155,155,2.01,61.4,60.0,12407,5,1,7
156,156,0.9,59.8,61.0,4253,2,5,5
157,157,1.06,61.8,58.0,9997,3,6,3
158,158,0.33,61.7,56.0,1114,4,4,2
159,159,1.67,59.4,61.0,11146,3,3,6
160,160,0.56,61.0,58.0,1755,3,6,5
161,161,0.7,62.2,56.0,2792,4,5,4
162,162,0.27,61.7,57.0,820,5,5,1
163,163,2.01,61.2,62.0,12829,5,3,6
164,164,1.32,62.7,58.0,6431,5,3,7
165,165,0.38,61.6,58.0,1257,5,5,2
166,166,1.53,61.3,57.0,8529,4,4,6
167,167,1.0,62.6,60.0,5197,5,5,6
168,168,0.52,61.8,56.0,1822,4,7,5
169,169,0.72,61.6,58.0,2688,3,6,6
170,170,0.63,61.2,56.0,2182,4,5,5
171,171,2.51,59.5,65.0,14251,2,4,7
172,172,0.5,60.5,57.0,1640,4,2,3
173,173,2.14,59.5,59.0,15499,5,2,6
174,174,0.54,61.9,54.0,1847,4,4,4
175,175,0.33,62.3,54.0,855,4,7,5
176,176,0.83,61.5,55.0,4024,4,6,6
177,177,0.42,61.6,56.0,1221,4,5,3
178,178,0.38,62.1,55.4,714,4,3,4
179,179,0.52,61.9,56.0,1815,4,6,5
180,180,1.51,61.9,57.0,10090,3,3,5
181,181,0.36,62.2,55.0,1215,4,5,1
182,182,0.4,62.7,58.0,666,5,3,6
183,183,1.02,62.0,56.0,6683,5,4,4
184,184,1.51,62.7,58.0,12872,5,4,5
185,185,0.91,60.7,56.0,3665,4,6,6
186,186,0.44,60.1,60.0,990,5,4,6
187,187,0.37,61.4,56.0,606,4,6,6
188,188,0.91,62.6,58.0,3975,5,4,6
189,189,1.02,63.3,58.0,4540,3,6,7
190,190,0.5,61.1,57.0,2243,4,7,5
191,191,0.4,61.9,56.4,728,4,2,3
192,192,1.59,63.6,57.0,11716,2,5,6
193,193,0.39,61.9,55.7,654,4,3,6
194,194,1.02,62.2,56.0,5082,4,4,6
195,195,0.7,62.0,55.0,2726,4,5,4
196,196,0.51,63.1,58.0,1574,3,5,5
197,197,0.4,61.7,56.0,1172,4,7,5
198,198,1.5,63.0,57.0,8662,3,2,5
199,199,1.07,59.4,59.0,11019,3,5,1
200,200,2.06,62.0,57.0,11040,4,3,7
201,201,1.56,57.6,65.0,6966,2,1,5
202,202,1.23,61.3,57.0,8679,4,5,4
203,203,0.7,62.5,55.0,2479,5,4,5
204,204,0.25,63.3,56.0,436,3,6,5
205,205,0.38,62.0,55.0,969,4,4,6
206,206,0.34,60.2,58.0,596,5,4,5
207,207,0.31,62.0,56.0,772,4,3,1
208,208,0.76,62.3,57.0,2474,4,2,6
209,209,1.51,60.7,60.0,7357,5,1,5
210,210,1.02,62.6,59.0,5978,5,4,5
211,211,0.31,61.8,54.0,680,4,6,5
212,212,0.9,62.4,58.0,3398,3,2,5
213,213,2.04,62.4,57.0,13825,3,1,5
214,214,0.33,62.3,56.0,854,4,5,5
215,215,0.7,61.2,59.0,1792,5,5,7
216,216,0.34,61.6,56.0,1084,4,4,1
217,217,0.54,60.0,59.0,1170,4,2,6
218,218,0.4,61.2,55.0,666,4,6,7
219,219,0.4,60.9,58.0,1200,5,7,4
220,220,0.42,62.0,57.0,823,4,3,3
221,221,2.13,62.4,56.0,12753,5,3,7
222,222,2.04,61.4,59.0,13600,5,1,5
223,223,1.01,63.0,57.0,4890,3,4,6
224,224,0.71,61.5,55.0,2878,4,2,5
225,225,0.7,63.2,57.0,2617,3,6,6
226,226,1.0,60.6,57.0,7235,5,3,1
227,227,0.4,62.4,57.0,1088,4,5,3
228,228,0.35,62.4,55.0,706,4,5,5
229,229,0.33,61.8,55.0,1141,4,5,2
230,230,1.7,62.3,57.0,15662,5,6,6
231,231,0.42,59.8,58.0,847,5,4,5
232,232,0.55,63.1,58.0,1041,3,2,7
233,233,0.6,58.9,59.0,1378,5,5,7
234,234,0.35,60.6,57.0,994,4,5,2
235,235,0.58,58.6,64.0,2185,2,6,4
236,236,0.3,61.7,57.0,1071,4,6,2
237,237,0.56,61.6,56.0,1612,4,3,6
238,238,1.52,62.1,59.0,9465,4,2,5
239,239,0.7,58.6,60.0,2657,5,6,6
240,240,0.5,60.9,58.0,1746,5,4,4
241,241,0.4,62.2,61.0,828,3,1,1
242,242,1.0,59.9,59.0,5864,5,5,5
243,243,0.7,59.0,60.0,2331,5,3,6
244,244,0.59,61.7,57.0,1412,3,5,6
245,245,0.38,56.2,61.0,873,2,5,5
246,246,2.01,59.9,65.0,16624,2,7,7
247,247,0.38,60.7,56.0,933,4,6,4
248,248,0.42,62.1,57.0,1103,4,4,3
249,249,0.43,59.7,59.0,901,5,7,5
250,250,1.16,60.2,59.0,5480,5,3,6
251,251,0.57,62.4,58.0,1949,5,4,4
252,252,0.54,62.0,56.0,1941,4,7,4
253,253,0.61,60.2,61.0,1785,2,4,4
254,254,0.7,60.9,58.0,2005,5,1,4
255,255,0.3,63.0,57.0,684,3,4,3
256,256,1.04,58.9,63.0,4484,3,3,6
257,257,1.2,62.4,58.0,5718,5,3,6
258,258,0.53,61.8,56.0,1607,4,4,5
259,259,1.53,58.9,59.0,13225,3,4,5
260,260,0.7,63.5,58.0,2686,3,7,6
261,261,1.0,62.4,57.0,4620,3,6,7
262,262,0.31,62.0,56.0,462,4,7,7
263,263,1.22,60.6,56.0,5586,4,1,6
264,264,0.71,58.5,59.0,2345,5,5,6
265,265,0.51,61.4,58.0,1071,5,4,6
266,266,0.5,62.5,57.0,1436,4,5,5
267,267,0.64,62.3,58.0,1969,3,7,6
268,268,2.01,61.9,57.0,14167,4,3,7
269,269,1.0,62.8,55.0,5639,4,7,6
270,270,0.56,62.1,54.0,1237,4,2,5
271,271,0.53,62.7,55.0,1308,4,4,6
272,272,1.61,62.2,56.0,9521,4,4,5
273,273,1.05,63.2,59.0,4281,3,6,7
274,274,1.04,64.9,58.0,5633,1,4,4
275,275,0.3,62.9,58.0,844,5,6,5
276,276,0.53,62.3,56.0,1683,4,7,6
277,277,0.3,62.2,58.0,552,3,7,6
278,278,1.02,61.1,57.0,7898,4,4,3
279,279,1.04,62.1,57.0,4801,4,3,6
280,280,1.21,60.6,56.0,5184,4,2,7
281,281,2.54,63.4,56.0,12095,3,2,7
282,282,0.56,61.0,57.0,1978,4,6,4
283,283,0.4,61.7,57.0,1056,4,6,3
284,284,0.79,62.2,55.0,3827,4,6,5
285,285,1.06,62.0,58.0,3823,5,1,7
286,286,0.27,61.9,58.0,575,3,6,3
287,287,1.01,60.6,57.0,3999,4,2,6
288,288,1.0,63.2,58.0,3265,3,2,5
289,289,1.02,60.9,61.0,4381,5,7,7
290,290,0.32,60.3,56.0,576,4,2,5
291,291,0.82,59.8,56.0,3535,3,4,5
292,292,0.3,61.3,58.0,621,4,6,5
293,293,0.41,60.7,55.0,1163,4,3,5
294,294,2.28,62.9,57.0,16041,3,2,7
295,295,0.71,61.4,56.0,2386,5,2,3
296,296,1.12,61.0,59.0,4077,5,3,7
297,297,0.72,61.9,55.0,2398,4,6,7
298,298,0.31,61.1,56.0,864,4,6,3
299,299,1.03,62.3,59.0,6214,5,4,5
300,300,0.24,64.8,57.0,492,2,5,2
301,301,1.55,62.5,60.0,8866,5,2,6
302,302,1.31,61.6,57.0,12008,4,4,4
303,303,1.02,62.1,56.0,4162,4,5,7
304,304,0.83,61.5,53.0,3933,4,7,6
305,305,1.19,59.8,58.0,9263,5,6,4
306,306,1.09,62.0,57.0,4700,5,3,7
307,307,0.71,65.3,53.0,2445,4,5,7
308,308,0.32,61.6,55.0,648,4,5,6
309,309,0.39,63.3,56.0,581,2,1,5
310,310,0.42,62.8,59.0,992,5,6,6
311,311,0.7,60.3,58.0,1806,5,5,7
312,312,0.58,61.8,57.0,2694,4,6,3
313,313,0.41,61.9,59.0,1105,5,7,3
314,314,1.54,60.9,56.4,9452,4,3,7
315,315,0.53,63.0,57.0,1262,4,6,7
316,316,0.51,62.6,57.0,1443,5,4,5
317,317,0.52,61.5,61.0,1660,2,6,5
318,318,0.45,62.9,58.4,1311,3,7,5
319,319,0.5,62.6,56.0,1286,5,4,6
320,320,0.3,62.3,55.0,863,4,4,1
321,321,1.0,64.0,59.0,3634,2,7,7
322,322,1.21,61.1,55.0,6659,4,5,6
323,323,0.31,61.5,60.0,593,5,7,7
324,324,0.34,60.8,57.0,699,4,5,5
325,325,1.52,63.3,61.0,8778,2,2,5
326,326,0.41,62.3,53.0,1356,4,5,2
327,327,0.72,63.1,57.0,2732,3,4,5
328,328,0.71,60.0,58.0,1952,5,2,5
329,329,0.9,61.3,56.0,3805,4,2,5
330,330,1.01,64.0,59.0,3461,2,4,7
331,331,0.44,61.5,57.0,1319,4,5,2
332,332,0.27,59.4,64.0,567,3,6,3
333,333,0.31,60.6,59.0,872,5,6,5
334,334,0.71,61.9,55.0,4027,4,6,2
335,335,0.4,61.0,55.0,1106,3,6,3
336,336,0.41,61.5,58.0,654,4,6,7
337,337,1.01,62.6,61.0,4821,3,3,5
338,338,1.01,63.0,60.0,3827,2,5,7
339,339,1.51,62.8,56.0,13811,4,4,4
340,340,1.27,61.3,60.0,11905,5,5,3
341,341,0.74,60.9,57.0,2594,4,6,7
342,342,0.33,62.8,55.0,780,4,7,6
343,343,0.41,62.2,58.0,961,5,3,3
344,344,1.52,65.4,62.0,4648,1,3,8
345,345,0.43,61.4,54.0,848,4,5,5
346,346,0.5,59.1,61.0,2106,3,6,3
347,347,0.51,63.5,55.0,1574,3,7,6
348,348,0.51,62.1,58.0,1844,4,4,3
349,349,0.33,61.3,57.0,681,3,4,4
350,350,0.32,62.3,57.0,758,4,7,5
351,351,0.71,61.6,61.0,2515,3,4,6
352,352,0.51,63.0,58.0,1442,3,7,6
353,353,1.05,64.8,55.0,2717,1,3,7
354,354,0.3,61.1,55.0,837,4,6,3
355,355,0.31,60.4,61.0,710,4,6,3
356,356,0.5,65.9,64.0,1792,1,7,2
357,357,1.01,59.3,57.0,7451,3,4,4
358,358,0.58,61.5,58.0,1424,3,6,6
359,359,1.25,60.4,59.0,7378,5,3,5
360,360,0.5,63.8,60.0,1333,2,7,6
361,361,1.7,59.8,59.0,9596,5,6,7
362,362,2.28,63.6,57.0,9068,2,1,7
363,363,0.59,62.3,55.0,1886,5,3,3
364,364,0.82,62.5,56.0,3295,5,6,6
365,365,0.61,61.7,55.0,2285,4,6,4
366,366,1.31,59.6,60.0,5187,3,2,7
367,367,0.31,62.4,55.0,593,5,4,6
368,368,1.01,61.7,60.0,9930,3,6,3
369,369,0.91,62.1,57.0,5795,4,4,4
370,370,0.9,62.8,59.0,3992,5,5,6
371,371,0.51,63.9,54.0,1443,2,6,6
372,372,0.4,62.6,58.0,1035,5,3,4
373,373,0.9,61.2,57.0,3521,4,4,7
374,374,1.11,61.8,55.0,15464,4,6,1
375,375,0.43,61.5,57.0,790,4,4,6
376,376,1.52,62.6,59.0,11743,5,5,6
377,377,0.4,60.9,58.0,825,4,4,5
378,378,0.91,60.2,60.0,4523,2,6,6
379,379,0.8,61.5,58.0,2760,5,3,6
380,380,2.15,65.5,57.0,5430,1,1,8
381,381,0.64,60.1,60.0,1901,5,5,6
382,382,1.34,61.2,56.0,6078,4,3,5
383,383,2.0,63.6,57.0,14057,3,2,6
384,384,0.3,61.5,55.0,878,4,4,3
385,385,0.35,62.6,56.0,721,3,7,5
386,386,0.5,60.9,57.0,1094,4,5,7
387,387,0.79,62.0,56.0,3561,4,4,4
388,388,1.01,62.6,60.0,4338,5,7,7
389,389,0.55,61.5,56.0,1881,5,6,5
390,390,0.7,59.9,59.0,2083,4,2,6
391,391,0.5,62.5,58.0,1710,5,3,2
392,392,0.9,61.9,59.0,2857,5,2,5
393,393,1.2,61.7,56.0,6619,4,7,7
394,394,1.01,63.3,58.0,4149,2,6,7
395,395,0.43,61.9,56.0,981,4,6,5
396,396,0.33,61.9,59.0,743,5,4,5
397,397,0.7,63.4,60.0,2394,2,3,5
398,398,0.94,60.9,57.0,4366,4,6,7
399,399,0.31,60.7,57.0,1140,4,5,2
400,400,0.44,61.8,56.0,1274,4,6,3
401,401,0.56,61.4,57.0,1279,4,5,7
402,402,1.41,62.7,56.0,7817,5,5,7
403,403,0.99,58.0,67.0,2949,1,1,6
404,404,0.51,60.6,56.0,1575,4,2,3
405,405,0.36,61.8,54.0,794,4,4,3
406,406,0.75,59.2,59.0,3260,3,6,6
407,407,0.32,62.9,57.0,936,4,3,2
408,408,0.39,60.4,59.0,1170,5,4,2
409,409,0.54,60.8,56.0,1950,4,4,3
410,410,0.7,61.2,60.0,3425,5,7,4
411,411,0.7,62.9,61.0,3175,5,6,4
412,412,2.04,59.6,56.0,13550,2,1,5
413,413,0.32,60.9,56.7,529,4,2,4
414,414,0.3,58.8,60.0,574,5,4,6
415,415,0.53,59.4,59.0,1428,5,3,5
416,416,1.24,62.3,54.0,8489,4,3,2
417,417,0.5,61.7,58.0,965,5,2,6
418,418,0.52,61.7,56.0,1266,4,4,6
419,419,0.37,61.9,59.0,681,5,7,6
420,420,0.33,60.2,60.0,698,4,3,2
421,421,0.34,62.8,59.0,574,5,4,7
422,422,1.29,62.5,60.0,7730,5,5,6
423,423,1.2,63.5,55.0,5913,2,7,6
424,424,0.54,61.8,56.0,1985,4,4,3
425,425,1.09,62.3,62.0,2708,5,2,7
426,426,0.43,63.1,56.0,739,2,6,6
427,427,0.41,61.4,55.0,1107,4,5,5
428,428,1.01,62.9,57.0,4977,2,7,6
429,429,0.37,60.3,58.0,791,5,5,6
430,430,0.84,55.6,64.0,2724,1,4,4
431,431,0.45,65.8,58.0,951,1,6,5
432,432,1.2,62.9,53.0,9032,4,5,4
433,433,1.35,62.2,56.0,6088,3,3,7
434,434,0.3,61.3,56.0,789,4,4,2
435,435,0.9,60.5,63.0,4201,3,3,4
436,436,0.72,61.6,55.0,3002,4,4,3
437,437,1.0,60.5,56.0,6328,4,4,5
438,438,0.3,60.4,58.0,473,3,2,4
439,439,0.7,62.2,56.0,1782,4,1,4
440,440,2.01,62.8,60.0,14811,3,2,6
441,441,0.41,60.5,57.0,961,5,4,4
442,442,0.34,62.1,54.0,695,4,2,1
443,443,0.91,61.7,56.0,4642,4,5,7
444,444,1.78,60.2,59.0,15460,5,3,4
445,445,0.7,59.6,59.0,2717,5,3,3
446,446,0.4,61.5,60.0,882,5,5,6
447,447,0.33,58.9,61.0,609,3,2,2
448,448,0.98,53.3,67.0,2855,1,6,7
449,449,0.43,61.3,55.0,1314,4,7,5
450,450,1.09,61.6,56.0,10314,4,6,3
451,451,0.42,62.7,54.0,984,4,4,4
452,452,1.01,59.4,59.0,4072,5,3,7
453,453,1.02,65.1,56.0,4462,1,5,6
454,454,1.04,61.9,54.0,4941,4,2,6
455,455,1.55,61.4,57.0,13421,4,3,1
456,456,1.14,62.9,59.0,4652,3,5,7
457,457,1.17,62.5,57.0,4259,5,5,7
458,458,0.65,60.5,58.0,2134,5,7,6
459,459,0.51,62.0,52.0,1781,5,4,4
460,460,0.75,59.1,59.0,2622,5,4,6
461,461,0.52,62.5,54.0,1600,4,5,5
462,462,1.52,62.9,53.3,15649,3,5,5
463,463,0.44,61.4,55.0,1177,4,3,1
464,464,0.51,63.9,57.0,1925,2,4,2
465,465,1.54,61.6,55.0,6299,4,4,8
466,466,0.5,61.3,56.0,1349,4,3,5
467,467,0.73,58.2,63.0,3166,2,5,3
468,468,1.17,62.4,56.0,7432,3,5,5
469,469,0.73,63.1,59.0,1975,3,6,7
470,470,1.01,64.6,62.0,4538,1,7,7
471,471,1.71,59.2,61.0,10084,5,3,5
472,472,0.24,59.8,58.0,419,3,6,4
473,473,0.31,62.2,56.0,583,4,5,5
474,474,0.72,63.0,58.0,2198,3,3,6
475,475,1.01,65.2,57.0,5700,2,5,5
476,476,1.82,61.6,60.0,14749,5,3,5
477,477,1.0,62.7,58.0,3293,5,1,7
478,478,0.3,62.3,58.0,710,5,7,5
479,479,0.74,60.1,58.0,2206,5,4,7
480,480,1.51,61.6,58.0,10821,4,2,3
481,481,0.32,61.8,55.0,559,4,4,4
482,482,1.07,62.0,57.0,5302,4,2,4
483,483,1.14,62.2,55.9,11737,3,5,2
484,484,1.01,60.0,55.0,4425,3,5,7
485,485,1.25,60.9,59.0,5156,5,1,4
486,486,2.01,62.1,59.0,15520,5,2,5
487,487,0.5,61.8,59.0,1420,5,6,5
488,488,2.05,62.0,58.0,9850,5,2,7
489,489,1.06,63.0,58.0,8044,5,6,4
490,490,1.0,68.2,60.0,3833,1,4,6
491,491,0.31,59.0,57.0,734,4,7,5
492,492,1.67,61.8,56.0,14014,4,3,4
493,493,0.31,61.9,56.0,734,4,6,4
494,494,0.73,60.7,56.0,2659,4,4,6
495,495,0.44,62.3,59.0,810,5,6,6
496,496,0.32,61.1,57.0,1080,4,4,2
497,497,0.41,62.7,58.0,683,3,7,7
498,498,1.0,61.1,61.0,4372,3,5,7
499,499,0.7,61.7,59.0,2459,2,6,6
500,500,1.0,62.7,58.0,6319,3,5,5
501,501,1.01,63.7,60.0,3897,2,5,7
502,502,0.9,61.4,56.0,4044,4,4,7
503,503,1.51,63.0,56.0,13248,5,5,5
504,504,1.97,61.1,58.0,14542,5,5,7
505,505,0.75,62.6,58.0,3084,2,6,5
506,506,1.5,63.6,55.0,13853,2,5,5
507,507,1.37,62.6,55.0,12455,4,4,2
508,508,0.54,62.4,55.0,1814,5,5,5
509,509,0.32,60.2,60.0,645,3,3,3
510,510,0.51,62.4,55.0,1678,4,7,5
511,511,0.49,59.6,62.0,965,5,3,5
512,512,0.91,62.4,57.0,4138,5,6,6
513,513,0.3,61.8,56.0,624,4,4,4
514,514,0.4,61.2,59.0,1053,5,6,4
515,515,1.52,62.3,57.0,7239,3,1,6
516,516,0.73,60.8,59.0,3014,3,7,6
517,517,0.52,63.7,54.0,1388,2,6,6
518,518,0.72,61.4,58.0,2586,4,2,4
519,519,2.01,62.2,63.0,12423,3,3,7
520,520,0.73,61.6,56.0,3595,4,4,5
521,521,0.49,61.9,56.0,2199,4,6,3
522,522,1.0,56.8,65.0,4138,2,3,6
523,523,1.14,62.3,55.0,10512,4,6,3
524,524,1.04,61.4,57.0,4375,4,4,7
525,525,4.01,62.5,62.0,15223,5,1,8
526,526,0.71,58.9,62.0,2181,5,4,6
527,527,0.51,59.6,59.0,2063,4,3,1
528,528,2.01,61.1,59.0,13109,3,1,5
529,529,0.7,60.6,57.0,2828,4,7,7
530,530,0.97,58.9,58.0,4020,5,5,7
531,531,1.59,60.7,56.0,13839,4,3,4
532,532,1.01,61.5,59.0,5006,5,4,6
533,533,1.01,62.7,59.0,4497,5,5,7
534,534,0.58,62.1,55.0,1332,5,3,6
535,535,1.03,60.9,56.0,4891,4,5,7
536,536,1.31,62.2,56.0,10071,4,4,4
537,537,0.69,62.4,56.0,2297,4,4,6
538,538,1.23,58.5,59.0,10650,3,5,3
539,539,0.33,61.3,56.0,631,4,7,7
540,540,2.01,61.1,60.0,17592,5,2,5
541,541,0.29,61.7,57.0,504,4,7,4
542,542,0.3,62.1,58.0,432,3,4,6
543,543,0.52,57.9,61.0,1273,3,5,7
544,544,0.7,58.8,58.0,2234,5,5,7
545,545,0.53,62.6,59.0,1909,3,6,4
546,546,0.7,63.1,54.0,2142,4,2,4
547,547,0.4,61.9,55.0,1168,4,5,2
548,548,1.0,60.5,59.0,6640,5,5,5
549,549,0.82,62.6,59.0,2648,5,2,5
550,550,2.46,63.0,56.0,15745,4,4,7
551,551,0.54,62.0,55.0,1057,4,2,6
552,552,0.7,62.1,66.0,1138,1,3,8
553,553,0.43,62.6,56.0,919,4,7,7
554,554,0.82,61.2,60.0,3224,5,2,1
555,555,0.36,62.0,56.0,770,4,5,6
556,556,0.61,62.3,56.0,2800,4,4,1
557,557,0.55,60.5,60.0,1698,5,7,6
558,558,2.25,67.7,58.0,6653,1,3,8
559,559,0.38,61.9,58.0,1327,5,6,2
560,560,0.4,62.4,59.0,1166,4,6,3
561,561,1.22,61.3,56.0,8313,4,4,4
562,562,0.57,60.5,56.0,1171,3,4,7
